Date,Open,High,Low,Close,Adj Close,Volume
16-10-2019,6.39,6.41,6.37,6.37,6.37,68700
17-10-2019,6.39,6.4,6.33,6.34,6.34,32200
18-10-2019,6.37,6.42,6.36,6.42,6.42,88800
21-10-2019,6.55,6.55,6.5,6.53,6.53,1436200
22-10-2019,6.5,6.59,6.46,6.49,6.49,1556800
23-10-2019,6.53,6.56,6.51,6.56,6.56,88100
24-10-2019,6.53,6.54,6.46,6.5,6.5,94800
25-10-2019,6.53,6.59,6.51,6.59,6.59,27800
28-10-2019,6.55,6.66,6.55,6.64,6.64,1213400
29-10-2019,6.55,6.6,6.55,6.58,6.58,47700
30-10-2019,6.44,6.47,6.4,6.46,6.46,115500
31-10-2019,6.43,6.51,6.37,6.51,6.51,1895600
01-11-2019,6.5,6.56,6.5,6.52,6.52,79600
04-11-2019,6.62,6.63,6.6,6.6,6.6,58400
05-11-2019,6.64,6.65,6.62,6.63,6.63,43400
06-11-2019,6.7,6.72,6.66,6.67,6.67,30400
07-11-2019,6.82,6.91,6.81,6.88,6.88,155100
08-11-2019,6.65,6.78,6.64,6.72,6.72,161200
11-11-2019,6.77,6.82,6.77,6.81,6.81,32100
12-11-2019,6.88,6.97,6.88,6.92,6.92,42000
13-11-2019,6.82,6.85,6.79,6.82,6.82,47300
14-11-2019,6.84,6.88,6.83,6.86,6.86,79600
15-11-2019,6.92,6.93,6.85,6.9,6.9,27400
18-11-2019,6.83,6.91,6.83,6.91,6.91,38400
19-11-2019,6.93,6.93,6.89,6.93,6.93,120000
20-11-2019,6.91,6.91,6.86,6.89,6.89,41900
21-11-2019,6.9,6.93,6.89,6.91,6.91,78600
22-11-2019,6.95,6.95,6.91,6.92,6.92,35800
25-11-2019,6.9,6.93,6.89,6.9,6.9,161900
26-11-2019,6.88,6.91,6.88,6.91,6.91,74200
27-11-2019,6.89,6.93,6.89,6.91,6.91,48800
29-11-2019,6.81,6.81,6.77,6.78,6.78,24500
02-12-2019,6.81,6.82,6.76,6.77,6.77,30100
03-12-2019,6.67,6.73,6.64,6.71,6.71,32500
04-12-2019,6.77,6.81,6.77,6.8,6.8,21500
05-12-2019,6.85,6.86,6.81,6.83,6.83,73300
06-12-2019,6.92,6.94,6.88,6.91,6.91,25300
09-12-2019,6.92,6.95,6.9,6.91,6.91,32500
10-12-2019,6.89,6.95,6.89,6.92,6.92,24100
11-12-2019,6.97,7,6.96,6.98,6.98,130800
12-12-2019,7.1,7.2,7.09,7.19,7.19,149700
13-12-2019,7.26,7.32,7.19,7.23,7.23,845900
16-12-2019,7.3,7.32,7.24,7.25,7.25,81700
17-12-2019,7.26,7.29,7.24,7.28,7.28,77100
18-12-2019,7.23,7.28,7.23,7.26,7.26,28700
19-12-2019,7.2,7.25,7.2,7.24,7.24,54600
20-12-2019,7.2,7.2,7.16,7.16,7.16,470500
23-12-2019,7.15,7.17,7.13,7.16,7.16,90200
24-12-2019,7.16,7.19,7.11,7.17,7.17,41500
26-12-2019,7.12,7.24,7.12,7.23,7.23,41600
27-12-2019,7.22,7.22,7.19,7.22,7.22,104700
30-12-2019,7.22,7.25,7.19,7.19,7.19,108500
31-12-2019,7.18,7.23,7.16,7.23,7.23,50000
02-01-2020,7.33,7.36,7.29,7.36,7.36,102900
03-01-2020,7.25,7.29,7.24,7.26,7.26,214000
06-01-2020,7.13,7.21,7.13,7.21,7.21,63100
07-01-2020,7.17,7.19,7.14,7.16,7.16,128900
08-01-2020,7.16,7.22,7.14,7.2,7.2,91800
09-01-2020,7.24,7.24,7.16,7.19,7.19,56200
10-01-2020,7.09,7.13,7.08,7.1,7.1,68800
13-01-2020,7.06,7.13,7.06,7.11,7.11,52500
14-01-2020,7.12,7.13,7.08,7.11,7.11,59900
15-01-2020,7.05,7.07,7.02,7.04,7.04,61100
16-01-2020,7.05,7.07,7.02,7.06,7.06,38800
17-01-2020,7.1,7.18,7.07,7.09,7.09,59400
21-01-2020,7.05,7.07,7,7.01,7.01,77100
22-01-2020,6.97,6.97,6.92,6.93,6.93,87000
23-01-2020,6.83,6.92,6.8,6.91,6.91,73400
24-01-2020,6.94,6.95,6.83,6.86,6.86,123300
27-01-2020,6.73,6.76,6.7,6.72,6.72,95100
28-01-2020,6.79,6.83,6.76,6.82,6.82,108100
29-01-2020,6.79,6.81,6.76,6.79,6.79,200400
30-01-2020,6.71,6.81,6.69,6.81,6.81,72300
31-01-2020,6.73,6.75,6.67,6.67,6.67,61700
03-02-2020,6.74,6.79,6.74,6.75,6.75,53700
04-02-2020,6.91,6.91,6.85,6.86,6.86,100900
05-02-2020,7.01,7.16,7.01,7.14,7.14,79500
06-02-2020,7.29,7.3,7.23,7.25,7.25,73800
