Date,Open,High,Low,Close
15-Oct-19,2126.22,2126.85,2124.16,2126.48
14-Oct-19,2121.07,2126.48,2121.07,2125.8
11-Oct-19,2124.61,2124.61,2120.35,2119.9
10-Oct-19,2126.79,2126.79,2124.31,2124.19
09-Oct-19,2124.63,2128.43,2124.63,2126.38
07-Oct-19,2123.13,2125.18,2122.63,2123.84
04-Oct-19,2125.13,2128.1,2123.22,2121.97
03-Oct-19,2119.44,2125.9,2119.44,2124.72
01-Oct-19,2112.85,2119.65,2112.85,2118.66
30-Sep-19,2108.67,2113.44,2108.67,2112.44
27-Sep-19,2108.93,2108.93,2106.35,2107.49
26-Sep-19,2105.87,2110.18,2105.21,2108.52
25-Sep-19,2105.02,2106.59,2103.47,2105.46
24-Sep-19,2106.48,2107.54,2103.75,2104.61
19-Sep-19,2115.95,2118.49,2115.8,2114.72
18-Sep-19,2108.49,2117.11,2108.49,2115.54
17-Sep-19,2110.43,2111.42,2107.12,2108.08
16-Sep-19,2116.66,2116.66,2111.55,2110.02
13-Sep-19,2115.31,2117.22,2114.74,2115.49
12-Sep-19,2114.25,2116.3,2112.21,2114.9
11-Sep-19,2122.04,2122.04,2114,2113.84
09-Sep-19,2118.57,2122.14,2118.57,2121.25
06-Sep-19,2118.99,2118.99,2117.16,2117.41
05-Sep-19,2119.65,2119.78,2117,2118.58
04-Sep-19,2120.51,2122.32,2120.3,2119.23
03-Sep-19,2115.2,2120.16,2115.2,2120.09
30-Aug-19,2115.64,2115.64,2112.5,2113.66
29-Aug-19,2113.34,2114.02,2109.65,2115.64
28-Aug-19,2115.34,2117.19,2112.07,2112.93
27-Aug-19,2119.19,2124.1,2117.97,2114.93
26-Aug-19,2110.65,2116.13,2110.65,2118.78
23-Aug-19,2110.31,2110.61,2109.5,2109.48
22-Aug-19,2108,2111.7,2106.73,2109.9
21-Aug-19,2105.88,2109.64,2105.81,2107.58
20-Aug-19,2101.87,2106.05,2100.48,2105.47
19-Aug-19,2104.57,2104.57,2100.15,2101.46
16-Aug-19,2096.33,2103.32,2096.33,2103.4
14-Aug-19,2105.64,2105.64,2094.18,2095.54
13-Aug-19,2110.74,2110.74,2103.32,2105.23
09-Aug-19,2116.92,2117.39,2106.57,2109.22
08-Aug-19,2115.05,2118.66,2114.82,2116.51
07-Aug-19,2108.16,2116.08,2108.16,2114.65
06-Aug-19,2102.45,2108.28,2102.45,2107.75
05-Aug-19,2105.72,2105.72,2102.17,2102.04
02-Aug-19,2097.69,2105.89,2097.69,2104.57
01-Aug-19,2100.12,2100.12,2095.03,2097.28
30-Jul-19,2095.44,2098.09,2092.77,2097.79
29-Jul-19,2085.63,2093.9,2085.63,2093.54
26-Jul-19,2084.49,2084.7,2082.14,2084.46
25-Jul-19,2091.73,2091.73,2080.32,2084.09
24-Jul-19,2089.08,2091.87,2088.8,2091.33
23-Jul-19,2092.64,2093.94,2089.87,2088.68
22-Jul-19,2100.14,2100.14,2095.09,2092.23
19-Jul-19,2095.97,2098.52,2095.97,2098.99
18-Jul-19,2095.45,2096.59,2093.87,2095.56
17-Jul-19,2100.24,2104.02,2096.52,2095.04
16-Jul-19,2094.74,2100.95,2094.74,2099.84
15-Jul-19,2089.71,2095.21,2089.71,2094.34
12-Jul-19,2088.26,2091.37,2085.48,2088.55
11-Jul-19,2083.57,2086.16,2083.21,2087.86
10-Jul-19,2080.27,2084.18,2079.26,2083.17
09-Jul-19,2082.66,2082.66,2080.85,2079.87
08-Jul-19,2070.27,2079.62,2070.27,2082.25
05-Jul-19,2064.29,2080.93,2063.29,2069.11
04-Jul-19,2056.54,2063.24,2055.93,2063.89
03-Jul-19,2055.27,2058.91,2055.27,2056.14
02-Jul-19,2052.34,2054.8,2052.34,2054.87
01-Jul-19,2052.31,2052.31,2049.23,2051.94
28-Jun-19,2049.55,2052.51,2049.02,2051.13
27-Jun-19,2046.34,2050.82,2046.34,2049.15
26-Jun-19,2050.88,2050.88,2048.01,2045.93
25-Jun-19,2054.19,2054.53,2050.4,2050.48
24-Jun-19,2053.84,2055.61,2053.29,2053.79
21-Jun-19,2058.86,2058.86,2051.13,2052.67
20-Jun-19,2054.39,2063.67,2054.39,2058.46
19-Jun-19,2055.47,2055.47,2053.15,2053.98
18-Jun-19,2046.01,2055.33,2046.01,2055.06
17-Jun-19,2047.34,2047.63,2043.23,2045.6
14-Jun-19,2037.12,2044.87,2037.12,2046.17
13-Jun-19,2036.81,2038.59,2035.87,2036.71
12-Jun-19,2034.2,2037.14,2034.2,2036.41
11-Jun-19,2030.77,2033.38,2030.04,2033.8
10-Jun-19,2037.56,2037.56,2029.93,2030.37
07-Jun-19,2039.21,2039.37,2035.27,2036.38
06-Jun-19,2030.7,2045.71,2030.7,2038.81
04-Jun-19,2033.27,2034.28,2029.58,2029.91
03-Jun-19,2030.11,2034.85,2030.11,2032.87
31-May-19,2020.77,2029.32,2020.77,2028.93
30-May-19,2021.21,2021.21,2019.72,2020.37
29-May-19,2019,2021.55,2019,2021.22
28-May-19,2017.13,2020.11,2016.93,2018.6
27-May-19,2011.72,2017.27,2011.72,2016.72
24-May-19,2009.14,2012.76,2009.14,2010.52
23-May-19,2006.74,2011.19,2006.74,2008.74
22-May-19,2002.71,2004.91,2002.42,2006.34
21-May-19,2003.72,2003.72,2002.85,2002.31
20-May-19,1997.53,2004.26,1997.53,2003.31
17-May-19,1994.51,1997.48,1994.19,1996.34
16-May-19,1992.7,1993.54,1992.04,1994.1
15-May-19,1992.65,1993.28,1991.88,1992.29
14-May-19,1989.69,1993.51,1989.69,1992.24
13-May-19,1985.52,1986.23,1979.49,1989.29
10-May-19,1985.38,1986,1984.74,1984.32
09-May-19,1986.74,1987.98,1986.28,1984.97
08-May-19,1984.95,1986.45,1984.95,1986.34
07-May-19,1982.73,1984.75,1981.68,1984.55
06-May-19,1981.32,1983.23,1981.32,1982.32
03-May-19,1981.26,1982.18,1980.76,1980.12
02-May-19,1977.46,1979.16,1977.46,1980.85
30-Apr-19,1976.19,1977.46,1975.83,1976.65
26-Apr-19,1970.06,1974.57,1970.06,1974.58
25-Apr-19,1972.57,1972.57,1967.66,1969.66
24-Apr-19,1966.5,1971.71,1966.5,1972.17
23-Apr-19,1967.32,1968,1965.05,1966.1
