Date, Open, High, Low, Close, Volume
04/08/20, 13.338, 13.338, 13.338, 13.338, 134492
04/07/20, 13.597, 13.597, 13.597, 13.597, 116300
04/06/20, 13.18, 13.555, 13.18, 13.50, 123016
04/03/20, 13.286, 13.286, 13.286, 13.286, 92164
04/02/20, 13.391, 13.391, 13.391, 13.391, 80364
04/01/20, 13.362, 13.362, 13.362, 13.362, 91086
03/31/20, 13.702, 13.702, 13.702, 13.702, 174457
03/30/20, 13.464, 13.464, 13.464, 13.464, 118595
03/27/20, 13.469, 13.469, 13.469, 13.469, 78533
03/26/20, 13.416, 13.416, 13.416, 13.416, 120768
03/25/20, 13.646, 13.646, 13.646, 13.646, 81893
03/24/20, 13.306, 13.306, 13.306, 13.306, 191269
03/23/20, 12.79, 12.79, 12.79, 12.79, 149440
03/20/20, 13.255, 13.255, 13.255, 13.255, 94653
03/19/20, 12.628, 12.628, 12.628, 12.628, 228045
03/18/20, 12.95, 12.95, 12.95, 12.95, 201206
03/17/20, 13.216, 13.216, 13.216, 13.216, 260564
03/16/20, 13.128, 13.128, 13.128, 13.128, 137167
03/13/20, 13.508, 13.508, 13.508, 13.508, 491502
03/12/20, 13.486, 13.486, 13.486, 13.486, 244816
03/11/20, 13.822, 13.822, 13.822, 13.822, 80000
03/10/20, 13.769, 13.769, 13.769, 13.769, 127898
03/09/20, 13.276, 13.276, 13.276, 13.276, 114616
03/06/20, 13.796, 13.796, 13.796, 13.796, 109171
03/05/20, 14.126, 14.126, 14.126, 14.126, 100067
03/04/20, 13.949, 13.949, 13.949, 13.949, 77257
03/03/20, 13.952, 13.952, 13.952, 13.952, 104047
03/02/20, 13.877, 13.877, 13.877, 13.877, 90271
02/28/20, 13.679, 13.679, 13.679, 13.679, 105673
02/27/20, 14.01, 14.01, 14.01, 14.01, 64390
02/26/20, 13.703, 13.703, 13.703, 13.703, 88251
02/25/20, 13.835, 13.835, 13.835, 13.835, 174153
02/24/20, 13.879, 13.879, 13.879, 13.879, 59644
02/21/20, 14.175, 14.175, 14.175, 14.175, 75396
02/20/20, 14.261, 14.261, 14.261, 14.261, 36550
02/19/20, 14.309, 14.309, 14.309, 14.309, 45262
02/18/20, 14.187, 14.187, 14.187, 14.187, 33216
02/14/20, 14.215, 14.215, 14.215, 14.215, 51097
02/13/20, 14.138, 14.138, 14.138, 14.138, 149644
02/12/20, 14.31, 14.31, 14.31, 14.31, 73120
02/11/20, 14.242, 14.242, 14.242, 14.242, 51604
02/10/20, 13.959, 13.959, 13.959, 13.959, 192506
02/07/20, 14.064, 14.064, 14.064, 14.064, 46215
02/06/20, 14.12, 14.12, 14.12, 14.12, 81358
02/05/20, 13.756, 13.756, 13.756, 13.756, 59261
02/04/20, 13.623, 13.623, 13.623, 13.623, 112613
02/03/20, 13.543, 13.543, 13.543, 13.543, 69173
01/31/20, 13.445, 13.445, 13.445, 13.445, 86081
01/30/20, 13.569, 13.569, 13.569, 13.569, 81201
01/29/20, 13.893, 13.893, 13.893, 13.893, 27828
01/28/20, 14.455, 14.455, 14.455, 14.455, 60861
01/27/20, 14.452, 14.452, 14.452, 14.452, 87610
01/24/20, 14.462, 14.462, 14.462, 14.462, 105074
01/23/20, 14.513, 14.513, 14.513, 14.513, 66971
01/22/20, 14.668, 14.668, 14.668, 14.668, 69543
01/21/20, 14.49, 14.49, 14.49, 14.49, 118903
01/17/20, 15.165, 15.165, 15.165, 15.165, 26944
01/16/20, 15.054, 15.054, 15.054, 15.054, 34035
01/15/20, 15.185, 15.185, 15.185, 15.185, 19210
01/14/20, 15.202, 15.202, 15.202, 15.202, 21175
01/13/20, 15.368, 15.368, 15.368, 15.368, 92195
01/10/20, 15.271, 15.271, 15.271, 15.271, 55597
01/09/20, 15.297, 15.297, 15.297, 15.297, 28658
01/08/20, 15.019, 15.019, 15.019, 15.019, 23912
01/07/20, 15.20, 15.20, 15.20, 15.20, 30456
01/06/20, 15.268, 15.268, 15.268, 15.268, 35290
01/03/20, 15.431, 15.431, 15.431, 15.431, 39323
01/02/20, 15.535, 15.535, 15.535, 15.535, 22489
12/31/19, 15.401, 15.401, 15.401, 15.401, 17815
12/30/19, 15.333, 15.333, 15.333, 15.333, 33354
12/27/19, 15.413, 15.413, 15.413, 15.413, 54712
12/26/19, 15.254, 15.254, 15.254, 15.254, 32810
12/24/19, 15.254, 15.254, 15.254, 15.254, 13815
12/23/19, 15.337, 15.337, 15.337, 15.337, 39133
12/20/19, 15.332, 15.332, 15.332, 15.332, 53109
12/19/19, 15.291, 15.291, 15.291, 15.291, 28560
12/18/19, 15.232, 15.232, 15.232, 15.232, 132267
12/17/19, 15.076, 15.076, 15.076, 15.076, 671960
12/16/19, 14.702, 14.702, 14.702, 14.702, 53601
12/13/19, 14.881, 14.881, 14.881, 14.881, 46755
12/12/19, 14.529, 14.529, 14.529, 14.529, 46755
12/11/19, 14.414, 14.414, 14.414, 14.414, 35227
12/10/19, 14.259, 14.259, 14.259, 14.259, 106309
12/09/19, 14.23, 14.23, 14.23, 14.23, 98104
12/06/19, 14.179, 14.179, 14.179, 14.179, 40805
12/05/19, 14.025, 14.025, 14.025, 14.025, 33091
12/04/19, 13.973, 13.973, 13.973, 13.973, 32977
12/03/19, 14.127, 14.127, 14.127, 14.127, 41268
12/02/19, 14.203, 14.203, 14.203, 14.203, 57149
11/29/19, 14.257, 14.257, 14.257, 14.257, 32428
11/27/19, 14.74, 14.74, 14.74, 14.74, 17797
11/26/19, 14.711, 14.711, 14.711, 14.711, 38156
11/25/19, 14.669, 14.669, 14.669, 14.669, 22765
11/22/19, 14.467, 14.467, 14.467, 14.467, 20445
11/21/19, 14.474, 14.474, 14.474, 14.474, 31421
11/20/19, 14.77, 14.77, 14.77, 14.77, 30533
11/19/19, 14.82, 14.82, 14.82, 14.82, 33271
11/18/19, 14.616, 14.616, 14.616, 14.616, 24496
11/15/19, 14.336, 14.336, 14.336, 14.336, 83558
11/14/19, 14.228, 14.228, 14.228, 14.228, 34290
11/13/19, 14.355, 14.355, 14.355, 14.355, 37529
11/12/19, 14.591, 14.591, 14.591, 14.591, 28421
11/11/19, 14.541, 14.541, 14.541, 14.541, 52538
11/08/19, 14.976, 14.976, 14.976, 14.976, 26277
11/07/19, 15.03, 15.03, 15.03, 15.03, 70515
11/06/19, 14.827, 14.827, 14.827, 14.827, 41328
11/05/19, 14.836, 14.836, 14.836, 14.836, 44939
11/04/19, 14.854, 14.854, 14.854, 14.854, 41967
11/01/19, 14.573, 14.573, 14.573, 14.573, 165457
10/31/19, 14.392, 14.392, 14.392, 14.392, 34043
10/30/19, 14.234, 14.234, 14.234, 14.234, 43944
10/29/19, 14.286, 14.286, 14.286, 14.286, 235987
10/28/19, 14.439, 14.439, 14.439, 14.439, 21925
10/25/19, 14.187, 14.187, 14.187, 14.187, 16487
10/24/19, 14.29, 14.29, 14.29, 14.29, 29631
10/23/19, 14.027, 14.027, 14.027, 14.027, 40444
