,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
68,2020-04-07,259.3979993946673,-12235.627375547188,11873.223099346042,259.3979993946673,259.3979993946673,-389.4726357790457,-389.4726357790457,-389.4726357790457,-389.4726357790457,-389.4726357790457,-389.4726357790457,0.0,0.0,0.0,-130.07463638437838
69,2020-04-08,528.4905007562566,-11706.749565549846,10801.934290767926,528.4905007562566,528.4905007562566,-725.537030826793,-725.537030826793,-725.537030826793,-725.537030826793,-725.537030826793,-725.537030826793,0.0,0.0,0.0,-197.0465300705365
70,2020-04-09,797.5830021178497,-9969.340574873751,11788.411726458166,797.5830021178497,797.5830021178497,-10.532649169914169,-10.532649169914169,-10.532649169914169,-10.532649169914169,-10.532649169914169,-10.532649169914169,0.0,0.0,0.0,787.0503529479355
71,2020-04-10,1066.675503479439,-10924.672941094223,12813.998542475436,1066.675503479439,1066.675503479439,108.50360594520029,108.50360594520029,108.50360594520029,108.50360594520029,108.50360594520029,108.50360594520029,0.0,0.0,0.0,1175.1791094246391
72,2020-04-11,1335.7680048410282,-9699.314422696225,13984.961502164508,1335.7680048410282,1335.7680048410282,643.6721857094122,643.6721857094122,643.6721857094122,643.6721857094122,643.6721857094122,643.6721857094122,0.0,0.0,0.0,1979.4401905504405
73,2020-04-12,1604.8605062026252,-8686.26638637878,14040.893555223942,1604.8605062026252,1604.8605062026252,912.9633457929868,912.9633457929868,912.9633457929868,912.9633457929868,912.9633457929868,912.9633457929868,0.0,0.0,0.0,2517.823851995612
74,2020-04-13,1884.7093500150786,-9502.94319983249,13298.120138411152,1884.7093500150786,1884.7093500150786,-539.5968216681057,-539.5968216681057,-539.5968216681057,-539.5968216681057,-539.5968216681057,-539.5968216681057,0.0,0.0,0.0,1345.1125283469728
75,2020-04-14,2164.558193827536,-9402.771501818783,13565.964610992356,2164.558193827536,2164.558193827536,-389.4726357791027,-389.4726357791027,-389.4726357791027,-389.4726357791027,-389.4726357791027,-389.4726357791027,0.0,0.0,0.0,1775.085558048433
76,2020-04-15,2444.407037639993,-9160.477821856815,13663.78610510316,2444.407037639993,2444.407037639993,-725.5370308262409,-725.5370308262409,-725.5370308262409,-725.5370308262409,-725.5370308262409,-725.5370308262409,0.0,0.0,0.0,1718.8700068137523
77,2020-04-16,2724.255881452447,-9278.938257697531,14431.311127562958,2724.2558814524464,2724.2558814524464,-10.532649171009604,-10.532649171009604,-10.532649171009604,-10.532649171009604,-10.532649171009604,-10.532649171009604,0.0,0.0,0.0,2713.723232281437
78,2020-04-17,3004.104725264904,-8041.2842195591375,14078.687994195177,3004.104725264904,3004.104725264904,108.50360594376657,108.50360594376657,108.50360594376657,108.50360594376657,108.50360594376657,108.50360594376657,0.0,0.0,0.0,3112.6083312086707
79,2020-04-18,3283.9535690773614,-7750.210584692164,15028.294464124687,3283.9535690773614,3283.9535690773614,643.6721857069621,643.6721857069621,643.6721857069621,643.6721857069621,643.6721857069621,643.6721857069621,0.0,0.0,0.0,3927.6257547843234
80,2020-04-19,3652.7584621432793,-6697.737341089164,15511.952045355045,3652.7584621432793,3652.7584621432793,912.9633457912008,912.9633457912008,912.9633457912008,912.9633457912008,912.9633457912008,912.9633457912008,0.0,0.0,0.0,4565.72180793448
81,2020-04-20,4021.5633552091967,-7741.666389148276,15130.395776922747,4021.5633552091967,4021.5633552091967,-539.5968216689636,-539.5968216689636,-539.5968216689636,-539.5968216689636,-539.5968216689636,-539.5968216689636,0.0,0.0,0.0,3481.9665335402333
82,2020-04-21,4390.368248275115,-6592.621897313377,15312.707479079369,4390.368248275115,4390.368248275115,-389.47263577915743,-389.47263577915743,-389.47263577915743,-389.47263577915743,-389.47263577915743,-389.47263577915743,0.0,0.0,0.0,4000.8956124959573
83,2020-04-22,4759.1731413410325,-7027.923289661141,14798.217090832773,4759.1731413410325,4759.1731413410325,-725.5370308269462,-725.5370308269462,-725.5370308269462,-725.5370308269462,-725.5370308269462,-725.5370308269462,0.0,0.0,0.0,4033.6361105140863
